	time [s]	theta [rad]	thetadot [rad/s]	k_energy	p_energy	total_energy
	8.88000	-0.31803	-1.29787	0.84224	0.49195	1.33419
	8.89000	-0.33071	-1.26720	0.80289	0.53157	1.33447
	8.90000	-0.34306	-1.23534	0.76304	0.57163	1.33467
	8.91000	-0.35508	-1.20235	0.72282	0.61197	1.33479
	8.92000	-0.36677	-1.16824	0.68239	0.65244	1.33484
	8.93000	-0.37810	-1.13306	0.64191	0.69289	1.33480
	8.94000	-0.38907	-1.09685	0.60154	0.73316	1.33470
	8.95000	-0.39966	-1.05964	0.56141	0.77310	1.33451
	8.96000	-0.40988	-1.02146	0.52169	0.81256	1.33425
	8.97000	-0.41970	-0.98237	0.48253	0.85140	1.33392
	8.98000	-0.42912	-0.94240	0.44406	0.88947	1.33352
	8.99000	-0.43814	-0.90158	0.40642	0.92663	1.33305
	9.00000	-0.44674	-0.85996	0.36977	0.96275	1.33251
	9.01000	-0.45491	-0.81758	0.33422	0.99769	1.33191
	9.02000	-0.46266	-0.77448	0.29991	1.03134	1.33125
	9.03000	-0.46997	-0.73069	0.26695	1.06357	1.33052
	9.04000	-0.47683	-0.68626	0.23548	1.09426	1.32974
	9.05000	-0.48324	-0.64124	0.20559	1.12331	1.32891
	9.06000	-0.48920	-0.59566	0.17740	1.15062	1.32802
	9.07000	-0.49469	-0.54956	0.15101	1.17608	1.32709
	9.08000	-0.49972	-0.50298	0.12650	1.19962	1.32611
	9.09000	-0.50428	-0.45598	0.10396	1.22114	1.32510
	9.10000	-0.50837	-0.40858	0.08347	1.24058	1.32405
	9.11000	-0.51198	-0.36083	0.06510	1.25786	1.32296
	9.12000	-0.51511	-0.31277	0.04891	1.27294	1.32185
	9.13000	-0.51775	-0.26444	0.03496	1.28575	1.32071
	9.14000	-0.51991	-0.21589	0.02330	1.29625	1.31955
	9.15000	-0.52158	-0.16715	0.01397	1.30441	1.31838
	9.16000	-0.52276	-0.11827	0.00699	1.31019	1.31719
	9.17000	-0.52346	-0.06929	0.00240	1.31359	1.31599
	9.18000	-0.52366	-0.02026	0.00021	1.31458	1.31479
	9.19000	-0.52337	0.02880	0.00041	1.31317	1.31358
	9.20000	-0.52259	0.07783	0.00303	1.30936	1.31239
	9.21000	-0.52132	0.12679	0.00804	1.30316	1.31119
	9.22000	-0.51957	0.17565	0.01543	1.29459	1.31001
	9.23000	-0.51732	0.22436	0.02517	1.28368	1.30885
	9.24000	-0.51460	0.27287	0.03723	1.27047	1.30770
	9.25000	-0.51138	0.32116	0.05157	1.25501	1.30658
	9.26000	-0.50769	0.36916	0.06814	1.23735	1.30549
	9.27000	-0.50352	0.41686	0.08688	1.21754	1.30442
	9.28000	-0.49888	0.46419	0.10774	1.19566	1.30340
	9.29000	-0.49377	0.51113	0.13063	1.17178	1.30241
	9.30000	-0.48819	0.55762	0.15547	1.14599	1.30146
	9.31000	-0.48216	0.60363	0.18219	1.11837	1.30056
	9.32000	-0.47567	0.64912	0.21068	1.08903	1.29971
	9.33000	-0.46873	0.69404	0.24085	1.05806	1.29891
	9.34000	-0.46134	0.73836	0.27259	1.02558	1.29817
	9.35000	-0.45352	0.78203	0.30579	0.99170	1.29748
	9.36000	-0.44527	0.82501	0.34032	0.95654	1.29686
	9.37000	-0.43660	0.86726	0.37607	0.92023	1.29630
	9.38000	-0.42751	0.90875	0.41291	0.88290	1.29581
	9.39000	-0.41802	0.94942	0.45070	0.84469	1.29538
	9.40000	-0.40813	0.98924	0.48930	0.80573	1.29503
	9.41000	-0.39784	1.02818	0.52857	0.76617	1.29475
	9.42000	-0.38718	1.06618	0.56837	0.72617	1.29454
	9.43000	-0.37615	1.10323	0.60855	0.68586	1.29441
	9.44000	-0.36476	1.13926	0.64896	0.64539	1.29435
	9.45000	-0.35301	1.17426	0.68944	0.60493	1.29437
	9.46000	-0.34093	1.20817	0.72984	0.56463	1.29447
	9.47000	-0.32852	1.24097	0.77001	0.52464	1.29465
	9.48000	-0.31580	1.27262	0.80979	0.48511	1.29490
	9.49000	-0.30277	1.30309	0.84902	0.44620	1.29523
	9.50000	-0.28944	1.33234	0.88757	0.40806	1.29563
	9.51000	-0.27584	1.36034	0.92526	0.37085	1.29611
	9.52000	-0.26197	1.38706	0.96197	0.33470	1.29666
	9.53000	-0.24784	1.41247	0.99753	0.29976	1.29729
	9.54000	-0.23348	1.43653	1.03181	0.26617	1.29798
	9.55000	-0.21889	1.45923	1.06467	0.23407	1.29874
	9.56000	-0.20408	1.48053	1.09598	0.20358	1.29956
	9.57000	-0.18908	1.50041	1.12562	0.17483	1.30045
	9.58000	-0.17389	1.51885	1.15345	0.14794	1.30139
	9.59000	-0.15853	1.53582	1.17937	0.12301	1.30239
	9.60000	-0.14302	1.55131	1.20328	0.10016	1.30343
	9.61000	-0.12736	1.56529	1.22507	0.07946	1.30453
	9.62000	-0.11159	1.57775	1.24465	0.06101	1.30566
	9.63000	-0.09570	1.58867	1.26194	0.04489	1.30683
	9.64000	-0.07972	1.59805	1.27688	0.03116	1.30803
	9.65000	-0.06366	1.60586	1.28939	0.01987	1.30927
	9.66000	-0.04754	1.61210	1.29944	0.01108	1.31052
	9.67000	-0.03137	1.61676	1.30696	0.00483	1.31179
	9.68000	-0.01517	1.61984	1.31194	0.00113	1.31307
	9.69000	0.00104	1.62133	1.31435	0.00001	1.31436
	9.70000	0.01725	1.62123	1.31419	0.00146	1.31565
	9.71000	0.03345	1.61953	1.31145	0.00549	1.31693
	9.72000	0.04961	1.61625	1.30614	0.01207	1.31821
	9.73000	0.06572	1.61139	1.29829	0.02118	1.31947
	9.74000	0.08177	1.60495	1.28793	0.03278	1.32071
	9.75000	0.09774	1.59693	1.27510	0.04682	1.32192
	9.76000	0.11362	1.58736	1.25986	0.06325	1.32310
	9.77000	0.12938	1.57624	1.24226	0.08199	1.32425
	9.78000	0.14501	1.56358	1.22239	0.10297	1.32536
	9.79000	0.16051	1.54941	1.20033	0.12610	1.32643
	9.80000	0.17585	1.53373	1.17616	0.15128	1.32744
	9.81000	0.19101	1.51657	1.14999	0.17842	1.32840
	9.82000	0.20599	1.49794	1.12191	0.20740	1.32931
	9.83000	0.22077	1.47788	1.09206	0.23810	1.33015
	9.84000	0.23533	1.45639	1.06054	0.27040	1.33094
	9.85000	0.24967	1.43352	1.02749	0.30417	1.33166
	9.86000	0.26376	1.40928	0.99304	0.33927	1.33230
	9.87000	0.27760	1.38371	0.95732	0.37556	1.33288
	9.88000	0.29117	1.35682	0.92048	0.41291	1.33339
	9.89000	0.30445	1.32866	0.88267	0.45115	1.33382
	9.90000	0.31745	1.29925	0.84403	0.49015	1.33418
	9.91000	0.33013	1.26863	0.80471	0.52975	1.33446
	9.92000	0.34250	1.23683	0.76487	0.56979	1.33466
	9.93000	0.35454	1.20388	0.72467	0.61012	1.33479
	9.94000	0.36624	1.16983	0.68425	0.65059	1.33484
	9.95000	0.37758	1.13470	0.64377	0.69104	1.33481
	9.96000	0.38857	1.09853	0.60338	0.73132	1.33470
	9.97000	0.39918	1.06136	0.56325	0.77128	1.33452
	9.98000	0.40942	1.02324	0.52351	0.81076	1.33427
	9.99000	0.41926	0.98418	0.48431	0.84963	1.33394
	10.00000	0.42870	0.94425	0.44580	0.88774	1.33354
	10.01000	0.43773	0.90347	0.40813	0.92494	1.33307
