  time [s] theta [rad]  thetadot [rad/s]    k_energy    p_energy   total_energy
   4.32000     0.29148          -1.34812     0.90872     0.41380        1.32252
   4.33000     0.27772          -1.37672     0.94768     0.37588        1.32355
   4.34000     0.26368          -1.40396     0.98556     0.33905        1.32460
   4.35000     0.24938          -1.42983     1.02221     0.30346        1.32567
   4.36000     0.23483          -1.45429     1.05748     0.26926        1.32674
   4.37000     0.22006          -1.47733     1.09125     0.23658        1.32783
   4.38000     0.20507          -1.49892     1.12338     0.20556        1.32893
   4.39000     0.18988          -1.51904     1.15373     0.17632        1.33006
   4.40000     0.17451          -1.53766     1.18220     0.14899        1.33119
   4.41000     0.15896          -1.55478     1.20867     0.12368        1.33235
   4.42000     0.14325          -1.57038     1.23304     0.10049        1.33353
   4.43000     0.12741          -1.58443     1.25521     0.07952        1.33472
   4.44000     0.11144          -1.59693     1.27509     0.06085        1.33594
   4.45000     0.09536          -1.60786     1.29261     0.04457        1.33718
   4.46000     0.07919          -1.61722     1.30769     0.03074        1.33844
   4.47000     0.06294          -1.62498     1.32029     0.01942        1.33971
   4.48000     0.04663          -1.63116     1.33034     0.01066        1.34100
   4.49000     0.03027          -1.63573     1.33781     0.00449        1.34230
   4.50000     0.01388          -1.63870     1.34267     0.00095        1.34362
   4.51000    -0.00252          -1.64006     1.34490     0.00003        1.34494
   4.52000    -0.01892          -1.63982     1.34450     0.00175        1.34625
   4.53000    -0.03529          -1.63796     1.34146     0.00611        1.34757
   4.54000    -0.05164          -1.63450     1.33579     0.01308        1.34887
   4.55000    -0.06793          -1.62943     1.32753     0.02263        1.35015
   4.56000    -0.08416          -1.62277     1.31669     0.03472        1.35141
   4.57000    -0.10031          -1.61451     1.30333     0.04931        1.35264
   4.58000    -0.11635          -1.60467     1.28749     0.06633        1.35382
   4.59000    -0.13229          -1.59326     1.26924     0.08571        1.35495
   4.60000    -0.14809          -1.58028     1.24864     0.10737        1.35602
   4.61000    -0.16375          -1.56575     1.22579     0.13122        1.35702
   4.62000    -0.17924          -1.54969     1.20077     0.15717        1.35794
   4.63000    -0.19456          -1.53211     1.17367     0.18510        1.35877
   4.64000    -0.20969          -1.51302     1.14461     0.21489        1.35951
   4.65000    -0.22462          -1.49245     1.11370     0.24644        1.36014
   4.66000    -0.23932          -1.47041     1.08106     0.27960        1.36066
   4.67000    -0.25379          -1.44694     1.04681     0.31424        1.36105
   4.68000    -0.26801          -1.42204     1.01110     0.35023        1.36132
   4.69000    -0.28197          -1.39575     0.97405     0.38741        1.36146
   4.70000    -0.29565          -1.36809     0.93583     0.42563        1.36146
   4.71000    -0.30904          -1.33908     0.89657     0.46475        1.36132
   4.72000    -0.32213          -1.30876     0.85643     0.50459        1.36103
   4.73000    -0.33490          -1.27716     0.81557     0.54502        1.36059
   4.74000    -0.34734          -1.24431     0.77415     0.58585        1.36001
   4.75000    -0.35945          -1.21024     0.73234     0.62694        1.35928
   4.76000    -0.37120          -1.17497     0.69028     0.66812        1.35840
   4.77000    -0.38258          -1.13856     0.64816     0.70923        1.35739
   4.78000    -0.39359          -1.10103     0.60613     0.75010        1.35623
   4.79000    -0.40422          -1.06242     0.56436     0.79058        1.35494
   4.80000    -0.41444          -1.02276     0.52302     0.83051        1.35353
   4.81000    -0.42427          -0.98211     0.48227     0.86974        1.35201
   4.82000    -0.43367          -0.94049     0.44226     0.90812        1.35037
   4.83000    -0.44265          -0.89794     0.40315     0.94549        1.34864
   4.84000    -0.45119          -0.85452     0.36510     0.98172        1.34682
   4.85000    -0.45930          -0.81026     0.32826     1.01667        1.34492
   4.86000    -0.46695          -0.76520     0.29277     1.05020        1.34297
   4.87000    -0.47414          -0.71939     0.25876     1.08220        1.34096
   4.88000    -0.48087          -0.67288     0.22638     1.11253        1.33892
   4.89000    -0.48713          -0.62570     0.19575     1.14110        1.33685
   4.90000    -0.49291          -0.57792     0.16699     1.16778        1.33477
   4.91000    -0.49820          -0.52956     0.14022     1.19248        1.33270
   4.92000    -0.50301          -0.48069     0.11553     1.21511        1.33065
   4.93000    -0.50732          -0.43134     0.09303     1.23559        1.32862
   4.94000    -0.51114          -0.38158     0.07280     1.25384        1.32664
   4.95000    -0.51445          -0.33143     0.05492     1.26979        1.32472
   4.96000    -0.51726          -0.28096     0.03947     1.28339        1.32286
   4.97000    -0.51957          -0.23022     0.02650     1.29458        1.32108
   4.98000    -0.52136          -0.17925     0.01607     1.30332        1.31939
   4.99000    -0.52264          -0.12811     0.00821     1.30959        1.31780
   5.00000    -0.52341          -0.07684     0.00295     1.31336        1.31631
   5.01000    -0.52366          -0.02549     0.00032     1.31461        1.31493
   5.02000    -0.52340           0.02588     0.00033     1.31334        1.31367
   5.03000    -0.52263           0.07723     0.00298     1.30955        1.31253
   5.04000    -0.52135           0.12850     0.00826     1.30327        1.31152
   5.05000    -0.51955           0.17964     0.01614     1.29450        1.31064
   5.06000    -0.51724           0.23061     0.02659     1.28329        1.30988
   5.07000    -0.51443           0.28135     0.03958     1.26968        1.30926
   5.08000    -0.51111           0.33182     0.05505     1.25371        1.30876
   5.09000    -0.50729           0.38196     0.07295     1.23544        1.30839
   5.10000    -0.50298           0.43172     0.09319     1.21495        1.30814
   5.11000    -0.49817           0.48107     0.11571     1.19230        1.30801
   5.12000    -0.49287           0.52994     0.14042     1.16758        1.30800
   5.13000    -0.48708           0.57829     0.16721     1.14088        1.30809
   5.14000    -0.48082           0.62607     0.19598     1.11231        1.30829
   5.15000    -0.47409           0.67324     0.22662     1.08196        1.30858
   5.16000    -0.46689           0.71975     0.25902     1.04995        1.30897
   5.17000    -0.45924           0.76555     0.29303     1.01640        1.30944
   5.18000    -0.45113           0.81060     0.32854     0.98145        1.30998
   5.19000    -0.44258           0.85485     0.36539     0.94521        1.31059
   5.20000    -0.43360           0.89827     0.40345     0.90782        1.31127
   5.21000    -0.42419           0.94081     0.44256     0.86944        1.31200
   5.22000    -0.41437           0.98242     0.48258     0.83021        1.31278
   5.23000    -0.40414           1.02307     0.52334     0.79027        1.31361
   5.24000    -0.39351           1.06272     0.56468     0.74979        1.31447
   5.25000    -0.38250           1.10132     0.60645     0.70891        1.31536
   5.26000    -0.37111           1.13884     0.64848     0.66780        1.31629
   5.27000    -0.35936           1.17525     0.69060     0.62663        1.31723
   5.28000    -0.34725           1.21050     0.73266     0.58554        1.31820
   5.29000    -0.33480           1.24457     0.77447     0.54471        1.31918
   5.30000    -0.32203           1.27741     0.81589     0.50429        1.32018
   5.31000    -0.30894           1.30900     0.85674     0.46444        1.32119
   5.32000    -0.29555           1.33931     0.89687     0.42533        1.32221
   5.33000    -0.28186           1.36830     0.93613     0.38712        1.32324
   5.34000    -0.26791           1.39595     0.97434     0.34995        1.32429
   5.35000    -0.25368           1.42223     1.01138     0.31397        1.32535
   5.36000    -0.23921           1.44712     1.04708     0.27934        1.32642
   5.37000    -0.22451           1.47059     1.08131     0.24619        1.32750
   5.38000    -0.20958           1.49261     1.11394     0.21466        1.32860
   5.39000    -0.19445           1.51317     1.14484     0.18487        1.32972
   5.40000    -0.17913           1.53225     1.17389     0.15696        1.33085
   5.41000    -0.16363           1.54982     1.20097     0.13103        1.33200
   5.42000    -0.14797           1.56587     1.22598     0.10720        1.33317
   5.43000    -0.13216           1.58039     1.24881     0.08555        1.33436
   5.44000    -0.11623           1.59335     1.26938     0.06619        1.33558
   5.45000    -0.10018           1.60475     1.28762     0.04919        1.33681
   5.46000    -0.08404           1.61458     1.30344     0.03462        1.33806
   5.47000    -0.06781           1.62283     1.31678     0.02255        1.33933
   5.48000    -0.05151           1.62948     1.32760     0.01301        1.34061
   5.49000    -0.03517           1.63453     1.33585     0.00607        1.34191
   5.50000    -0.01879           1.63798     1.34149     0.00173        1.34322
   5.51000    -0.00239           1.63983     1.34451     0.00003        1.34454
   5.52000     0.01401           1.64006     1.34490     0.00096        1.34586
   5.53000     0.03040           1.63869     1.34264     0.00453        1.34718
   5.54000     0.04675           1.63570     1.33776     0.01072        1.34848
   5.55000     0.06306           1.63112     1.33027     0.01950        1.34977
   5.56000     0.07931           1.62493     1.32020     0.03084        1.35104
   5.57000     0.09549           1.61715     1.30759     0.04469        1.35227
   5.58000     0.11156           1.60778     1.29248     0.06099        1.35347
   5.59000     0.12753           1.59684     1.27495     0.07967        1.35461
   5.60000     0.14337           1.58433     1.25505     0.10066        1.35570
   5.61000     0.15908           1.57026     1.23286     0.12386        1.35672
   5.62000     0.17462           1.55466     1.20848     0.14919        1.35767
   5.63000     0.19000           1.53753     1.18199     0.17654        1.35853
   5.64000     0.20519           1.51889     1.15351     0.20579        1.35930
   5.65000     0.22018           1.49876     1.12314     0.23682        1.35996
   5.66000     0.23495           1.47716     1.09100     0.26951        1.36051
   5.67000     0.24949           1.45411     1.05722     0.30373        1.36095
   5.68000     0.26378           1.42964     1.02193     0.33933        1.36126
   5.69000     0.27782           1.40376     0.98527     0.37616        1.36143
   5.70000     0.29159           1.37650     0.94738     0.41409        1.36147
   5.71000     0.30507           1.34790     0.90842     0.45296        1.36137
   5.72000     0.31825           1.31797     0.86853     0.49260        1.36113
   5.73000     0.33111           1.28675     0.82787     0.53287        1.36074
   5.74000     0.34366           1.25427     0.78660     0.57360        1.36020
   5.75000     0.35586           1.22056     0.74488     0.61463        1.35951
   5.76000     0.36772           1.18565     0.70288     0.65580        1.35868
   5.77000     0.37921           1.14957     0.66076     0.69694        1.35770
   5.78000     0.39034           1.11237     0.61869     0.73790        1.35659
   5.79000     0.40108           1.07408     0.57683     0.77852        1.35534
   5.80000     0.41143           1.03474     0.53534     0.81863        1.35397
   5.81000     0.42137           0.99437     0.49439     0.85809        1.35248
   5.82000     0.43090           0.95304     0.45414     0.89673        1.35087
   5.83000     0.44001           0.91077     0.41475     0.93442        1.34917
   5.84000     0.44868           0.86760     0.37637     0.97101        1.34737
   5.85000     0.45692           0.82359     0.33915     1.00635        1.34550
   5.86000     0.46471           0.77876     0.30324     1.04032        1.34356
   5.87000     0.47204           0.73317     0.26877     1.07279        1.34157
   5.88000     0.47891           0.68687     0.23589     1.10364        1.33953
   5.89000     0.48531           0.63989     0.20473     1.13274        1.33747
   5.90000     0.49123           0.59228     0.17540     1.16000        1.33539
   5.91000     0.49667           0.54409     0.14802     1.18530        1.33332
   5.92000     0.50162           0.49537     0.12269     1.20856        1.33126
   5.93000     0.50609           0.44616     0.09953     1.22970        1.32922
   5.94000     0.51005           0.39651     0.07861     1.24862        1.32723
   5.95000     0.51352           0.34647     0.06002     1.26526        1.32529
   5.96000     0.51648           0.29610     0.04384     1.27957        1.32341
   5.97000     0.51893           0.24543     0.03012     1.29149        1.32160
   5.98000     0.52088           0.19452     0.01892     1.30097        1.31989
   5.99000     0.52231           0.14343     0.01029     1.30798        1.31826
   6.00000     0.52323           0.09219     0.00425     1.31249        1.31674
   6.01000     0.52364           0.04086     0.00083     1.31450        1.31533
   6.02000     0.52354          -0.01051     0.00006     1.31398        1.31404
   6.03000     0.52292          -0.06187     0.00191     1.31095        1.31286
   6.04000     0.52179          -0.11317     0.00640     1.30541        1.31181
   6.05000     0.52014          -0.16435     0.01351     1.29738        1.31089
   6.06000     0.51799          -0.21538     0.02319     1.28690        1.31010
   6.07000     0.51533          -0.26620     0.03543     1.27400        1.30943
   6.08000     0.51216          -0.31675     0.05016     1.25873        1.30890
   6.09000     0.50849          -0.36699     0.06734     1.24115        1.30849
   6.10000     0.50432          -0.41687     0.08689     1.22131        1.30820
   6.11000     0.49966          -0.46635     0.10874     1.19930        1.30804
   6.12000     0.49450          -0.51536     0.13280     1.17519        1.30799
   6.13000     0.48886          -0.56387     0.15898     1.14907        1.30805
   6.14000     0.48275          -0.61183     0.18717     1.12105        1.30822
   6.15000     0.47615          -0.65919     0.21727     1.09122        1.30849
   6.16000     0.46909          -0.70590     0.24915     1.05970        1.30884
   6.17000     0.46158          -0.75192     0.28269     1.02660        1.30929
   6.18000     0.45360          -0.79720     0.31776     0.99205        1.30981
   6.19000     0.44519          -0.84170     0.35423     0.95618        1.31040
   6.20000     0.43633          -0.88537     0.39194     0.91912        1.31106
   6.21000     0.42705          -0.92817     0.43075     0.88102        1.31178
   6.22000     0.41735          -0.97007     0.47052     0.84203        1.31255
   6.23000     0.40724          -1.01101     0.51107     0.80229        1.31336
   6.24000     0.39673          -1.05096     0.55226     0.76195        1.31421
   6.25000     0.38583          -1.08988     0.59392     0.72117        1.31509
   6.26000     0.37455          -1.12773     0.63589     0.68012        1.31601
   6.27000     0.36291          -1.16447     0.67800     0.63895        1.31695
   6.28000     0.35091          -1.20008     0.72009     0.59782        1.31791
   6.29000     0.33856          -1.23450     0.76199     0.55689        1.31888
   6.30000     0.32589          -1.26771     0.80355     0.51633        1.31988
   6.31000     0.31289          -1.29968     0.84459     0.47630        1.32088
   6.32000     0.29959          -1.33038     0.88495     0.43695        1.32190
   6.33000     0.28599          -1.35977     0.92448     0.39845        1.32293
   6.34000     0.27211          -1.38782     0.96302     0.36095        1.32397
   6.35000     0.25797          -1.41452     1.00043     0.32460        1.32503
   6.36000     0.24357          -1.43982     1.03654     0.28955        1.32610
   6.37000     0.22893          -1.46372     1.07123     0.25594        1.32718
   6.38000     0.21407          -1.48617     1.10436     0.22392        1.32827
   6.39000     0.19900          -1.50717     1.13579     0.19360        1.32938
   6.40000     0.18373          -1.52670     1.16540     0.16511        1.33051
   6.41000     0.16828          -1.54472     1.19308     0.13858        1.33166
   6.42000     0.15267          -1.56123     1.21872     0.11410        1.33282
   6.43000     0.13691          -1.57620     1.24221     0.09179        1.33401
   6.44000     0.12101          -1.58964     1.26347     0.07174        1.33521
   6.45000     0.10500          -1.60151     1.28241     0.05402        1.33644
   6.46000     0.08888          -1.61181     1.29896     0.03872        1.33768
   6.47000     0.07267          -1.62053     1.31305     0.02589        1.33895
   6.48000     0.05640          -1.62765     1.32463     0.01560        1.34023
   6.49000     0.04006          -1.63319     1.33365     0.00787        1.34152
   6.50000     0.02369          -1.63712     1.34008     0.00275        1.34283
   6.51000     0.00730          -1.63944     1.34389     0.00026        1.34415
   6.52000    -0.00910          -1.64016     1.34506     0.00041        1.34547
   6.53000    -0.02550          -1.63927     1.34360     0.00319        1.34678
   6.54000    -0.04186          -1.63676     1.33950     0.00859        1.34809
   6.55000    -0.05819          -1.63266     1.33279     0.01660        1.34939
   6.56000    -0.07446          -1.62695     1.32348     0.02718        1.35066
   6.57000    -0.09066          -1.61964     1.31162     0.04028        1.35191
   6.58000    -0.10676          -1.61075     1.29726     0.05586        1.35312
   6.59000    -0.12277          -1.60028     1.28044     0.07383        1.35428
   6.60000    -0.13865          -1.58823     1.26124     0.09414        1.35538
   6.61000    -0.15439          -1.57463     1.23973     0.11669        1.35643
   6.62000    -0.16999          -1.55949     1.21600     0.14140        1.35740
   6.63000    -0.18542          -1.54281     1.19013     0.16815        1.35828
   6.64000    -0.20066          -1.52462     1.16224     0.19684        1.35908
   6.65000    -0.21571          -1.50494     1.13242     0.22736        1.35977
   6.66000    -0.23055          -1.48378     1.10079     0.25957        1.36036
   6.67000    -0.24516          -1.46116     1.06749     0.29334        1.36083
   6.68000    -0.25953          -1.43711     1.03264     0.32854        1.36118
   6.69000    -0.27365          -1.41165     0.99637     0.36502        1.36140
   6.70000    -0.28750          -1.38480     0.95884     0.40264        1.36148
   6.71000    -0.30106          -1.35660     0.92018     0.44124        1.36142
   6.72000    -0.31433          -1.32706     0.88055     0.48067        1.36122
   6.73000    -0.32730          -1.29623     0.84010     0.52077        1.36087
   6.74000    -0.33994          -1.26412     0.79900     0.56137        1.36037
   6.75000    -0.35225          -1.23077     0.75740     0.60233        1.35973
   6.76000    -0.36421          -1.19622     0.71547     0.64347        1.35894
   6.77000    -0.37581          -1.16049     0.67337     0.68464        1.35801
   6.78000    -0.38705          -1.12362     0.63126     0.72568        1.35694
   6.79000    -0.39791          -1.08565     0.58932     0.76641        1.35573
   6.80000    -0.40837          -1.04662     0.54770     0.80669        1.35439
   6.81000    -0.41844          -1.00656     0.50658     0.84636        1.35293
   6.82000    -0.42809          -0.96551     0.46610     0.88526        1.35136
   6.83000    -0.43733          -0.92351     0.42644     0.92325        1.34969
   6.84000    -0.44613          -0.88061     0.38774     0.96018        1.34792
   6.85000    -0.45450          -0.83684     0.35015     0.99591        1.34607
   6.86000    -0.46242          -0.79226     0.31384     1.03031        1.34415
   6.87000    -0.46989          -0.74689     0.27893     1.06324        1.34217
   6.88000    -0.47690          -0.70080     0.24556     1.09458        1.34014
   6.89000    -0.48344          -0.65401     0.21387     1.12422        1.33809
   6.90000    -0.48951          -0.60659     0.18397     1.15204        1.33602
   6.91000    -0.49509          -0.55857     0.15600     1.17794        1.33394
   6.92000    -0.50019          -0.51000     0.13005     1.20182        1.33187
   6.93000    -0.50480          -0.46093     0.10623     1.22360        1.32983
   6.94000    -0.50892          -0.41141     0.08463     1.24319        1.32782
   6.95000    -0.51253          -0.36148     0.06534     1.26053        1.32586
   6.96000    -0.51564          -0.31120     0.04842     1.27554        1.32396
   6.97000    -0.51825          -0.26062     0.03396     1.28817        1.32214
   6.98000    -0.52035          -0.20978     0.02200     1.29839        1.32039
   6.99000    -0.52193          -0.15873     0.01260     1.30614        1.31874
   7.00000    -0.52301          -0.10753     0.00578     1.31140        1.31719
   7.01000    -0.52357          -0.05622     0.00158     1.31416        1.31574
   7.02000    -0.52362          -0.00486     0.00001     1.31440        1.31441
   7.03000    -0.52316           0.04651     0.00108     1.31212        1.31320
   7.04000    -0.52218           0.09783     0.00479     1.30733        1.31211
   7.05000    -0.52069           0.14905     0.01111     1.30004        1.31115
   7.06000    -0.51869           0.20013     0.02003     1.29029        1.31032
   7.07000    -0.51618           0.25102     0.03150     1.27811        1.30962
   7.08000    -0.51316           0.30165     0.04550     1.26355        1.30904
   7.09000    -0.50964           0.35199     0.06195     1.24665        1.30860
   7.10000    -0.50562           0.40199     0.08080     1.22748        1.30828
   7.11000    -0.50110           0.45159     0.10197     1.20611        1.30808
   7.12000    -0.49610           0.50075     0.12537     1.18262        1.30799
   7.13000    -0.49060           0.54941     0.15093     1.15709        1.30802
   7.14000    -0.48463           0.59754     0.17853     1.12963        1.30816
   7.15000    -0.47818           0.64508     0.20807     1.10033        1.30840
   7.16000    -0.47126           0.69199     0.23943     1.06930        1.30873
   7.17000    -0.46387           0.73822     0.27249     1.03666        1.30915
   7.18000    -0.45604           0.78373     0.30712     1.00253        1.30965
   7.19000    -0.44775           0.82847     0.34318     0.96704        1.31022
   7.20000    -0.43903           0.87239     0.38053     0.93033        1.31086
   7.21000    -0.42987           0.91546     0.41903     0.89253        1.31156
   7.22000    -0.42030           0.95763     0.45853     0.85378        1.31231
   7.23000    -0.41031           0.99886     0.49886     0.81425        1.31311
   7.24000    -0.39992           1.03911     0.53988     0.77407        1.31395
   7.25000    -0.38913           1.07834     0.58141     0.73341        1.31483
   7.26000    -0.37797           1.11652     0.62331     0.69242        1.31573
   7.27000    -0.36643           1.15360     0.66539     0.65127        1.31666
   7.28000    -0.35454           1.18954     0.70751     0.61011        1.31762
   7.29000    -0.34229           1.22432     0.74948     0.56910        1.31859
   7.30000    -0.32971           1.25790     0.79116     0.52842        1.31958
   7.31000    -0.31681           1.29025     0.83237     0.48821        1.32058
   7.32000    -0.30360           1.32133     0.87295     0.44864        1.32160
   7.33000    -0.29009           1.35111     0.91275     0.40987        1.32262
   7.34000    -0.27629           1.37957     0.95160     0.37206        1.32366
   7.35000    -0.26223           1.40667     0.98936     0.33535        1.32471
   7.36000    -0.24790           1.43240     1.02588     0.29990        1.32578
   7.37000    -0.23333           1.45672     1.06101     0.26584        1.32685
   7.38000    -0.21854           1.47961     1.09462     0.23333        1.32794
   7.39000    -0.20353           1.50104     1.12657     0.20248        1.32905
   7.40000    -0.18832           1.52101     1.15674     0.17343        1.33017
   7.41000    -0.17292           1.53948     1.18501     0.14631        1.33131
   7.42000    -0.15736           1.55645     1.21126     0.12121        1.33247
   7.43000    -0.14164           1.57188     1.23541     0.09824        1.33365
   7.44000    -0.12578           1.58578     1.25735     0.07750        1.33485
   7.45000    -0.10980           1.59812     1.27699     0.05908        1.33607
   7.46000    -0.09371           1.60889     1.29426     0.04304        1.33731
   7.47000    -0.07753           1.61808     1.30910     0.02947        1.33857
   7.48000    -0.06127           1.62569     1.32143     0.01841        1.33984
   7.49000    -0.04496           1.63170     1.33122     0.00991        1.34113
   7.50000    -0.02860           1.63611     1.33843     0.00401        1.34244
   7.51000    -0.01221           1.63892     1.34302     0.00073        1.34375
   7.52000     0.00419           1.64011     1.34498     0.00009        1.34507
   7.53000     0.02059           1.63970     1.34431     0.00208        1.34639
   7.54000     0.03697           1.63768     1.34100     0.00670        1.34770
   7.55000     0.05331           1.63405     1.33507     0.01394        1.34900
   7.56000     0.06960           1.62882     1.32654     0.02375        1.35028
   7.57000     0.08582           1.62200     1.31544     0.03610        1.35154
   7.58000     0.10195           1.61358     1.30182     0.05094        1.35276
   7.59000     0.11799           1.60358     1.28573     0.06821        1.35393
   7.60000     0.13391           1.59200     1.26724     0.08782        1.35506
   7.61000     0.14970           1.57887     1.24641     0.10971        1.35612
   7.62000     0.16534           1.56418     1.22333     0.13378        1.35711
   7.63000     0.18082           1.54796     1.19809     0.15994        1.35803
   7.64000     0.19612           1.53022     1.17079     0.18806        1.35885
   7.65000     0.21123           1.51098     1.14153     0.21804        1.35958
   7.66000     0.22613           1.49026     1.11044     0.24976        1.36020
   7.67000     0.24081           1.46808     1.07763     0.28308        1.36070
   7.68000     0.25526           1.44445     1.04322     0.31786        1.36109
   7.69000     0.26945           1.41941     1.00737     0.35398        1.36134
   7.70000     0.28338           1.39298     0.97020     0.39127        1.36147
   7.71000     0.29703           1.36518     0.93186     0.42959        1.36145
   7.72000     0.31040           1.33604     0.89250     0.46879        1.36129
   7.73000     0.32345           1.30559     0.85228     0.50871        1.36099
   7.74000     0.33619           1.27386     0.81136     0.54918        1.36054
   7.75000     0.34860           1.24088     0.76989     0.59005        1.35994
   7.76000     0.36067           1.20668     0.72804     0.63115        1.35919
   7.77000     0.37238           1.17130     0.68597     0.67233        1.35830
   7.78000     0.38373           1.13477     0.64385     0.71342        1.35727
   7.79000     0.39470           1.09713     0.60184     0.75426        1.35611
   7.80000     0.40528           1.05841     0.56011     0.79469        1.35481
   7.81000     0.41547           1.01865     0.51882     0.83456        1.35338
   7.82000     0.42525           0.97789     0.47814     0.87371        1.35184
   7.83000     0.43461           0.93618     0.43821     0.91199        1.35020
   7.84000     0.44354           0.89354     0.39921     0.94925        1.34846
   7.85000     0.45204           0.85003     0.36127     0.98535        1.34663
   7.86000     0.46010           0.80568     0.32456     1.02016        1.34473
   7.87000     0.46771           0.76055     0.28922     1.05355        1.34276
   7.88000     0.47485           0.71467     0.25537     1.08538        1.34075
   7.89000     0.48153           0.66808     0.22317     1.11554        1.33871
   7.90000     0.48774           0.62084     0.19272     1.14391        1.33664
   7.91000     0.49347           0.57300     0.16416     1.17040        1.33456
   7.92000     0.49872           0.52459     0.13760     1.19489        1.33249
   7.93000     0.50347           0.47566     0.11313     1.21731        1.33044
   7.94000     0.50774           0.42627     0.09085     1.23756        1.32842
   7.95000     0.51150           0.37646     0.07086     1.25558        1.32644
   7.96000     0.51476           0.32628     0.05323     1.27129        1.32452
   7.97000     0.51752           0.27579     0.03803     1.28465        1.32267
   7.98000     0.51977           0.22502     0.02532     1.29559        1.32090
   7.99000     0.52151           0.17403     0.01514     1.30408        1.31922
   8.00000     0.52274           0.12287     0.00755     1.31009        1.31764
   8.01000     0.52346           0.07159     0.00256     1.31360        1.31616
   8.02000     0.52366           0.02023     0.00020     1.31459        1.31480
   8.03000     0.52335          -0.03114     0.00048     1.31306        1.31355
   8.04000     0.52252          -0.08248     0.00340     1.30902        1.31242
   8.05000     0.52119          -0.13374     0.00894     1.30248        1.31143
   8.06000     0.51934          -0.18487     0.01709     1.29347        1.31056
   8.07000     0.51698          -0.23581     0.02780     1.28201        1.30981
   8.08000     0.51411          -0.28653     0.04105     1.26815        1.30920
   8.09000     0.51074          -0.33696     0.05677     1.25195        1.30872
   8.10000     0.50687          -0.38707     0.07491     1.23345        1.30836
   8.11000     0.50251          -0.43679     0.09539     1.21273        1.30812
   8.12000     0.49765          -0.48609     0.11814     1.18987        1.30801
   8.13000     0.49230          -0.53491     0.14306     1.16494        1.30800
   8.14000     0.48646          -0.58320     0.17006     1.13805        1.30811
   8.15000     0.48016          -0.63092     0.19903     1.10928        1.30831
   8.16000     0.47337          -0.67803     0.22986     1.07876        1.30862
   8.17000     0.46613          -0.72446     0.26242     1.04659        1.30901
   8.18000     0.45843          -0.77019     0.29660     1.01289        1.30949
   8.19000     0.45028          -0.81516     0.33225     0.97779        1.31004
   8.20000     0.44168          -0.85934     0.36923     0.94143        1.31066
   8.21000     0.43266          -0.90266     0.40740     0.90394        1.31134
   8.22000     0.42321          -0.94511     0.44661     0.86547        1.31208
   8.23000     0.41334          -0.98662     0.48671     0.82615        1.31287
   8.24000     0.40307          -1.02717     0.52754     0.78615        1.31370
   8.25000     0.39240          -1.06671     0.56894     0.74562        1.31456
   8.26000     0.38135          -1.10521     0.61074     0.70471        1.31546
   8.27000     0.36992          -1.14262     0.65279     0.66359        1.31638
   8.28000     0.35813          -1.17891     0.69491     0.62242        1.31733
   8.29000     0.34599          -1.21404     0.73695     0.58135        1.31830
   8.30000     0.33351          -1.24798     0.77873     0.54055        1.31928
   8.31000     0.32071          -1.28070     0.82010     0.50018        1.32028
   8.32000     0.30758          -1.31216     0.86088     0.46041        1.32129
   8.33000     0.29416          -1.34234     0.90093     0.42138        1.32231
   8.34000     0.28045          -1.37119     0.94009     0.38326        1.32335
   8.35000     0.26646          -1.39871     0.97819     0.34621        1.32440
   8.36000     0.25221          -1.42485     1.01509     0.31036        1.32546
   8.37000     0.23772          -1.44959     1.05065     0.27588        1.32653
   8.38000     0.22299          -1.47291     1.08473     0.24289        1.32761
   8.39000     0.20804          -1.49478     1.11719     0.21153        1.32872
   8.40000     0.19289          -1.51519     1.14790     0.18193        1.32983
   8.41000     0.17755          -1.53411     1.17675     0.15422        1.33097
   8.42000     0.16203          -1.55153     1.20362     0.12850        1.33212
   8.43000     0.14636          -1.56743     1.22841     0.10488        1.33329
   8.44000     0.13054          -1.58178     1.25102     0.08347        1.33449
   8.45000     0.11459          -1.59459     1.27136     0.06434        1.33570
   8.46000     0.09854          -1.60583     1.28935     0.04759        1.33693
   8.47000     0.08238          -1.61550     1.30492     0.03327        1.33819
   8.48000     0.06615          -1.62358     1.31801     0.02145        1.33946
   8.49000     0.04984          -1.63007     1.32856     0.01218        1.34075
   8.50000     0.03349          -1.63496     1.33654     0.00550        1.34205
   8.51000     0.01711          -1.63824     1.34192     0.00144        1.34336
   8.52000     0.00071          -1.63992     1.34467     0.00000        1.34468
   8.53000    -0.01569          -1.63999     1.34479     0.00121        1.34600
   8.54000    -0.03207          -1.63845     1.34227     0.00504        1.34731
   8.55000    -0.04842          -1.63531     1.33712     0.01150        1.34862
   8.56000    -0.06473          -1.63056     1.32936     0.02054        1.34990
   8.57000    -0.08097          -1.62421     1.31903     0.03214        1.35117
   8.58000    -0.09713          -1.61626     1.30615     0.04624        1.35240
   8.59000    -0.11320          -1.60674     1.29080     0.06279        1.35359
   8.60000    -0.12916          -1.59563     1.27302     0.08171        1.35473
   8.61000    -0.14499          -1.58296     1.25288     0.10293        1.35581
   8.62000    -0.16068          -1.56874     1.23047     0.12636        1.35682
   8.63000    -0.17620          -1.55297     1.20586     0.15190        1.35776
   8.64000    -0.19156          -1.53569     1.17917     0.17944        1.35861
   8.65000    -0.20673          -1.51690     1.15049     0.20888        1.35937
   8.66000    -0.22170          -1.49662     1.11993     0.24009        1.36002
