  time [s] theta [rad]  thetadot [rad/s]    k_energy    p_energy   total_energy
   0.98000    -0.52283          -0.11802     0.00696     1.31053        1.31749
   0.99000    -0.52350          -0.06673     0.00223     1.31380        1.31603
   1.00000    -0.52365          -0.01537     0.00012     1.31456        1.31467
   1.01000    -0.52329           0.03600     0.00065     1.31279        1.31344
   1.02000    -0.52242           0.08733     0.00381     1.30851        1.31233
   1.03000    -0.52103           0.13858     0.00960     1.30174        1.31134
   1.04000    -0.51914           0.18970     0.01799     1.29249        1.31048
   1.05000    -0.51673           0.24062     0.02895     1.28080        1.30975
   1.06000    -0.51382           0.29131     0.04243     1.26672        1.30915
   1.07000    -0.51040           0.34172     0.05839     1.25029        1.30868
   1.08000    -0.50648           0.39179     0.07675     1.23158        1.30833
   1.09000    -0.50207           0.44148     0.09745     1.21066        1.30811
   1.10000    -0.49716           0.49073     0.12041     1.18759        1.30800
   1.11000    -0.49177           0.53950     0.14553     1.16248        1.30801
   1.12000    -0.48589           0.58774     0.17272     1.13540        1.30812
   1.13000    -0.47953           0.63541     0.20187     1.10647        1.30834
   1.14000    -0.47271           0.68245     0.23287     1.07578        1.30865
   1.15000    -0.46542           0.72882     0.26559     1.04346        1.30905
   1.16000    -0.45768           0.77448     0.29991     1.00963        1.30954
   1.17000    -0.44948           0.81938     0.33569     0.97441        1.31010
   1.18000    -0.44085           0.86347     0.37279     0.93793        1.31072
   1.19000    -0.43178           0.90672     0.41107     0.90034        1.31141
   1.20000    -0.42229           0.94908     0.45037     0.86178        1.31215
   1.21000    -0.41238           0.99050     0.49055     0.82239        1.31294
   1.22000    -0.40207           1.03096     0.53144     0.78234        1.31378
   1.23000    -0.39137           1.07040     0.57288     0.74176        1.31464
   1.24000    -0.38028           1.10880     0.61471     0.70083        1.31554
   1.25000    -0.36882           1.14610     0.65677     0.65970        1.31647
   1.26000    -0.35700           1.18228     0.69890     0.61852        1.31742
   1.27000    -0.34483           1.21730     0.74092     0.57747        1.31839
   1.28000    -0.33231           1.25113     0.78267     0.53671        1.31937
   1.29000    -0.31948           1.28373     0.82398     0.49639        1.32037
   1.30000    -0.30633           1.31507     0.86471     0.45668        1.32139
   1.31000    -0.29288           1.34512     0.90468     0.41773        1.32241
   1.32000    -0.27914           1.37385     0.94374     0.37971        1.32345
   1.33000    -0.26512           1.40124     0.98173     0.34276        1.32450
   1.34000    -0.25085           1.42725     1.01852     0.30704        1.32556
   1.35000    -0.23633           1.45186     1.05394     0.27269        1.32663
   1.36000    -0.22158           1.47504     1.08787     0.23985        1.32772
   1.37000    -0.20662           1.49678     1.12017     0.20865        1.32882
   1.38000    -0.19144           1.51705     1.15071     0.17923        1.32994
   1.39000    -0.17609           1.53583     1.17938     0.15169        1.33108
   1.40000    -0.16056           1.55310     1.20606     0.12617        1.33223
   1.41000    -0.14487           1.56885     1.23065     0.10276        1.33341
   1.42000    -0.12904           1.58306     1.25304     0.08156        1.33460
   1.43000    -0.11308           1.59572     1.27316     0.06265        1.33582
   1.44000    -0.09701           1.60681     1.29093     0.04613        1.33705
   1.45000    -0.08085           1.61633     1.30626     0.03204        1.33831
   1.46000    -0.06461           1.62426     1.31911     0.02047        1.33958
   1.47000    -0.04830           1.63060     1.32943     0.01144        1.34087
   1.48000    -0.03195           1.63534     1.33717     0.00501        1.34217
   1.49000    -0.01556           1.63847     1.34230     0.00119        1.34348
   1.50000     0.00084           1.64000     1.34480     0.00000        1.34480
   1.51000     0.01724           1.63992     1.34466     0.00146        1.34612
   1.52000     0.03362           1.63823     1.34189     0.00554        1.34743
   1.53000     0.04997           1.63493     1.33649     0.01225        1.34874
   1.54000     0.06627           1.63003     1.32849     0.02153        1.35002
   1.55000     0.08251           1.62352     1.31791     0.03337        1.35128
   1.56000     0.09866           1.61543     1.30481     0.04771        1.35251
   1.57000     0.11472           1.60575     1.28922     0.06448        1.35370
   1.58000     0.13066           1.59450     1.27121     0.08362        1.35483
   1.59000     0.14648           1.58168     1.25086     0.10505        1.35591
   1.60000     0.16215           1.56731     1.22823     0.12869        1.35692
   1.61000     0.17767           1.55140     1.20343     0.15442        1.35785
   1.62000     0.19301           1.53397     1.17654     0.18215        1.35869
   1.63000     0.20816           1.51504     1.14767     0.21176        1.35944
   1.64000     0.22310           1.49462     1.11695     0.24313        1.36008
   1.65000     0.23783           1.47273     1.08447     0.27614        1.36061
   1.66000     0.25232           1.44940     1.05038     0.31063        1.36102
   1.67000     0.26657           1.42465     1.01481     0.34649        1.36130
   1.68000     0.28056           1.39850     0.97790     0.38355        1.36145
   1.69000     0.29426           1.37098     0.93979     0.42168        1.36147
   1.70000     0.30769           1.34211     0.90063     0.46071        1.36134
   1.71000     0.32081           1.31193     0.86057     0.50049        1.36106
   1.72000     0.33361           1.28045     0.81978     0.54086        1.36064
   1.73000     0.34609           1.24773     0.77841     0.58166        1.36007
   1.74000     0.35822           1.21378     0.73663     0.62273        1.35936
   1.75000     0.37001           1.17863     0.69459     0.66391        1.35850
   1.76000     0.38143           1.14234     0.65247     0.70503        1.35750
   1.77000     0.39248           1.10492     0.61042     0.74593        1.35636
   1.78000     0.40315           1.06642     0.56862     0.78646        1.35508
   1.79000     0.41342           1.02687     0.52723     0.82646        1.35368
   1.80000     0.42328           0.98631     0.48640     0.86576        1.35217
   1.81000     0.43273           0.94479     0.44631     0.90423        1.35054
   1.82000     0.44175           0.90234     0.40710     0.94172        1.34882
   1.83000     0.45034           0.85900     0.36894     0.97807        1.34701
   1.84000     0.45849           0.81482     0.33197     1.01315        1.34512
   1.85000     0.46619           0.76984     0.29633     1.04684        1.34317
   1.86000     0.47343           0.72411     0.26217     1.07900        1.34117
   1.87000     0.48021           0.67767     0.22962     1.10951        1.33913
   1.88000     0.48651           0.63056     0.19880     1.13826        1.33706
   1.89000     0.49234           0.58283     0.16985     1.16514        1.33498
   1.90000     0.49768           0.53453     0.14286     1.19005        1.33291
   1.91000     0.50254           0.48571     0.11796     1.21290        1.33085
   1.92000     0.50691           0.43641     0.09523     1.23360        1.32883
   1.93000     0.51077           0.38668     0.07476     1.25208        1.32684
   1.94000     0.51414           0.33658     0.05664     1.26827        1.32491
   1.95000     0.51700           0.28614     0.04094     1.28211        1.32305
   1.96000     0.51935           0.23542     0.02771     1.29355        1.32126
   1.97000     0.52120           0.18447     0.01702     1.30254        1.31956
   1.98000     0.52253           0.13334     0.00889     1.30906        1.31795
   1.99000     0.52335           0.08208     0.00337     1.31309        1.31645
   2.00000     0.52366           0.03074     0.00047     1.31459        1.31507
   2.01000     0.52345          -0.02063     0.00021     1.31358        1.31379
   2.02000     0.52273          -0.07198     0.00259     1.31005        1.31264
   2.03000     0.52150          -0.12326     0.00760     1.30402        1.31162
   2.04000     0.51976          -0.17442     0.01521     1.29551        1.31072
   2.05000     0.51750          -0.22541     0.02540     1.28455        1.30996
   2.06000     0.51474          -0.27617     0.03814     1.27118        1.30932
   2.07000     0.51148          -0.32667     0.05336     1.25545        1.30881
   2.08000     0.50771          -0.37685     0.07101     1.23742        1.30842
   2.09000     0.50344          -0.42665     0.09102     1.21715        1.30816
   2.10000     0.49868          -0.47604     0.11331     1.19471        1.30802
   2.11000     0.49343          -0.52496     0.13779     1.17020        1.30799
   2.12000     0.48770          -0.57336     0.16437     1.14370        1.30808
   2.13000     0.48148          -0.62121     0.19295     1.11531        1.30826
   2.14000     0.47480          -0.66844     0.22341     1.08514        1.30855
   2.15000     0.46765          -0.71502     0.25563     1.05330        1.30892
   2.16000     0.46004          -0.76090     0.28948     1.01990        1.30938
   2.17000     0.45198          -0.80603     0.32484     0.98508        1.30992
   2.18000     0.44348          -0.85037     0.36156     0.94897        1.31053
   2.19000     0.43454          -0.89387     0.39950     0.91170        1.31120
   2.20000     0.42517          -0.93650     0.43851     0.87341        1.31193
   2.21000     0.41539          -0.97821     0.47845     0.83426        1.31270
   2.22000     0.40520          -1.01896     0.51914     0.79439        1.31352
   2.23000     0.39461          -1.05871     0.56043     0.75395        1.31438
   2.24000     0.38364          -1.09742     0.60217     0.71311        1.31527
   2.25000     0.37229          -1.13505     0.64417     0.67202        1.31619
   2.26000     0.36057          -1.17158     0.68630     0.63084        1.31713
   2.27000     0.34850          -1.20695     0.72836     0.58973        1.31810
   2.28000     0.33609          -1.24114     0.77021     0.54887        1.31908
   2.29000     0.32335          -1.27411     0.81168     0.50840        1.32007
   2.30000     0.31029          -1.30583     0.85259     0.46849        1.32108
   2.31000     0.29693          -1.33627     0.89281     0.42930        1.32210
   2.32000     0.28328          -1.36540     0.93216     0.39098        1.32314
   2.33000     0.26935          -1.39319     0.97049     0.35370        1.32418
   2.34000     0.25515          -1.41961     1.00765     0.31759        1.32524
   2.35000     0.24070          -1.44464     1.04349     0.28282        1.32631
   2.36000     0.22602          -1.46825     1.07788     0.24951        1.32739
   2.37000     0.21112          -1.49043     1.11068     0.21781        1.32849
   2.38000     0.19600          -1.51114     1.14177     0.18784        1.32960
   2.39000     0.18070          -1.53036     1.17101     0.15973        1.33073
   2.40000     0.16522          -1.54809     1.19829     0.13359        1.33188
   2.41000     0.14958          -1.56430     1.22352     0.10954        1.33305
   2.42000     0.13379          -1.57897     1.24658     0.08766        1.33424
   2.43000     0.11787          -1.59210     1.26739     0.06806        1.33545
   2.44000     0.10183          -1.60366     1.28586     0.05082        1.33668
   2.45000     0.08569          -1.61365     1.30193     0.03600        1.33793
   2.46000     0.06947          -1.62206     1.31553     0.02366        1.33920
   2.47000     0.05318          -1.62887     1.32661     0.01387        1.34048
